,name,price,item
40,Sony PlayStation 3 Motorstorm bundle. Backwards Compatible 80GB Console in Box.,,Playstation 3
41,Sony Playstation PS3 80GB CECHE01 Backwards Compatible Console - Huge Bundle!,162.5,Playstation 3
42,"Sony PlayStation 3 Super Slim 500gb Console , 2 Wireless Controllers And 6...",,Playstation 3
43,Sony Playstation 3 80gb Backwards Compatible CECHE01 - Works - Console Only,,Playstation 3
44,Sony PlayStation 3 40GB Original Fat Launch Console (See Desc.),,Playstation 3
45,Sony Playstation 3 PS3 Slim 250GB Console Bundle - 25 Games 2 Controllers Tested,,Playstation 3
46,Sony PlayStation 3 250GB CECH-4001B Black Console Bundle 11 Games Tested Cords,,Playstation 3
47,Sony PlayStation 3 PS3 System & Games Lot ~ 60 Games ~ MY Personal Collection!!,99.99,Playstation 3
48,PlayStation 3 PS3 Slim 120GB Console Custom Firmware Controller HDMI CECH-2001A,,Playstation 3
49,Sony PlayStation 3 CECHE01 80 GB Backward Compatible 1 Game 1 Controller,94.0,Playstation 3
50,Sony PlayStation 3 Slim 120GB Charcoal Black Console System (CECH-2001A) PS3,,Playstation 3
51,Sony PlayStation 3 Slim Charcoal Black Console CECH-2501A,,Playstation 3
52,Sony Playstation 3 FAT 80GB CECHE01 PS2 Backwards Compatible Game Console Rare,,Playstation 3
53,"Sony Playstation 3 PS3 Slim 160 GB Console Bundle - 10 Games, Controller, Tested",,Playstation 3
54,Sony PlayStation PS3 80GB Backwards Compatible CECHE01 Tested READ DESCRIPTION,219.99,Playstation 3
55,Sony PlayStation 3 Slim Bundle 250GB Black Console CECH-2001B w/Controller,,Playstation 3
56,Sony PlayStation 3 PS3 Console Super Slim with Wireless Controller,164.99,Playstation 3
57,Sony PlayStation 3 Slim Launch Edition 120GB Charcoal Black Console (CECH-2001A),149.99,Playstation 3
0,Sony PlayStation 4 (PS4) Slim 1tb Jet Black Console w/ accessories!  LIMITED QTY,309.99,Playstation 4
1,Sony PlayStation 4 PS4 Pro 1TB 4K Console - Black,349.99,Playstation 4
2,NEW Sony PlayStation PS4 1TB Slim Gaming Console Black - CUH-2215B,349.0,Playstation 4
3,Sony PlayStation 4 Slim 1TB Jet Black Home Console,285.0,Playstation 4
4,Sony PlayStation 4 CUH-1001A 500 GB Gaming Console - Black - TESTED ,,Playstation 4
5,✅✅ Sony PlayStation 4 Slim 1TB Jet Black Console PS4 CUH-2215B - Free Shipping,387.99,Playstation 4
6,Sony PlayStation 4 Pro 1TB Console - Black,162.5,Playstation 4
7,"Sony PlayStation 4 Console 500GB , PS4 Camera & 4 Games",232.5,Playstation 4
8, New Sony PlayStation 4 Slim 1TB Jet Black Home Console CUH-2215B fast shipping ,379.95,Playstation 4
9,Sony PlayStation 4 1TB  - Controller Charging Dock / 2 Controllers /11 Games,335.0,Playstation 4
10,Sony PlayStation 4 Pro PS4 1TB Jet Black Console tested and working console only,,Playstation 4
11,Sony PlayStation 4 Pro 1TB 4K Console - Jet Black W/ 2019 MLB The Show,167.5,Playstation 4
12,New Sony PlayStation 4 Slim 1TB Console - Jet Black ,359.99,Playstation 4
13,"Sony PlayStation 4 Pro STAR WARS: Battlefront II Limited Edition Bundle, 1TB,...",200.0,Playstation 4
14,Sony Playstation 4 Pro Death Stranding Limited Edition Buy It Now!,,Playstation 4
15,Sony PlayStation 4 PS4 Slim 1TB Jet Black Console (CUH-2215B)- extra controller,202.5,Playstation 4
16,Sony PlayStation 4 1TB Glacier White Console - Destiny Bundle,,Playstation 4
17,Sony Playstation 4 Star Wars Battlefront LE W/Xtra Controllers and Games PS4,152.52,Playstation 4
